year,artist,title,medium,description,winner,image_path,image_stem,url
2012,Tim Johnson,Observatory Hill,,"Using Observatory Hill as a starting point, this painting maps landmarks and places of interest around Sydney. It includes the Royal Botanic Gardens, Taronga Zoo, Sydney Harbour and public buildings like the Sydney Observatory, the State Library of New South Wales and the Art Gallery of New South Wales. How we have changed the landscape, and the marks we have left on it are inscribed in an atmospheric landscape-based field of coloured dots. Observatory Hill is a place where we locate ourselves in a bigger space than where we happen to be and see ourselves as part of the cosmos. Tim Johnson, 2012",False,data/images/2012_Tim Johnson_Observatory Hill.jpg,2012_Tim Johnson_Observatory Hill,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29194/
2012,Nicholas Harding,Pandanus 2012,,"Immigrating to Australia as a boy, I initially experienced a sense of displacement and sought ways of engaging with my new domicile’s landscape. Through my three-decade long relationship with my wife Lynne (whose maternal grandfather surveyed for the coastal river village of Wooli in 1923) I have found an emotively resonant engagement with the Yuraygir coastal region of northern New South Wales. The pandanus have become emblematic of this affinity. Pandanus stand scattered along the coastline’s stretches of sand and gravel. This particular pandanus clings to a shallow eroding cliff, mostly sheltered from the southerlies, a tangled flurry of light standing as a sentinel presence. Nicholas Harding, 2012",False,data/images/2012_Nicholas Harding_Pandanus 2012.jpg,2012_Nicholas Harding_Pandanus 2012,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29193/
2012,Camille Hannah,Austramythicus – paternus,oil and acrylic on aluminium,"The painting speaks about a mythology fermented by dreams born long ago of a pastoral arcadia. This work plays upon traditions of Australian pastoral painting and is based on idealised notions that are projected onto the landscape, through which an inextricable connection between the landscape and our national identity has been forged. The title Austramythicus – paternus is fictional, and refers to a ‘brand and tag’ notion of Australia as a European species, evolved from pastoral capitalism since European settlement. It is based on the act of botanical referencing at the time of colonisation. Camille Hannah, 2012",False,data/images/2012_Camille Hannah_Austramythicus _ paternus.jpg,2012_Camille Hannah_Austramythicus _ paternus,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29192/
2012,Neil Haddon,Grafting landscape (West Hobart),,"Grafting landscape (West Hobart) is one of a series of works that looks at migration to and from Tasmania, all of which attempt to convey a sense of the emotional implications of leaving a place of deeply felt connection. As a migrant to this island I have been grafted onto the rootstock of a Tasmanian family and place. Over the years, scion has fused with rootstock but I am not clear what hybrid merging has occurred or what has been drawn up through me: something darker and older. Grafting landscape (West Hobart) can be located amongst some grafted apple trees in a small backyard in West Hobart. But it also contains traces of multiple landscapes, of other hemispheres, of merged heritage and complex, fused histories in the ambiguous and multi-layered ground. Neil Haddon, 2012",False,data/images/2012_Neil Haddon_Grafting landscape _West Hobart_.jpg,2012_Neil Haddon_Grafting landscape _West Hobart_,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29191/
2012,Graham Fransella,River track,,"My painting River track is a distillation of my experiences flying over the Northern Territory viewing river paths in the landscape and from a recent trip to the Kimberleys after the extreme floods in 2011. The landscape had been subjected to raging torrents of water, which had pulled up trees, moved boulders and rerouted the riverbeds. From this experience and memories, I arrived at the bare bones of the image. The execution of the painting is where the making really happens. I use the tools of spontaneity, accident, chance and improvisation. Watercolour is an ideal medium for this as it dries quickly, can be applied quickly and has a fresh, lively, colourful feel. It doesn’t benefit from overwork so one mark is usually enough. Consequently you accept and deal with decisions, mistakes and accidents. Graham Fransella, 2012",False,data/images/2012_Graham Fransella_River track.jpg,2012_Graham Fransella_River track,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29190/
2012,Juan Ford,Whitewash,,"This work comes from a series I’ve been working on since 2007, inspired by ruminations on landscape I’ve had during a series of trips to the Australian outback – in this case, while driving part of the Darling River Run (Bourke to Wentworth, via four-wheel drive tracks). I pondered the difficulties, even the peculiarity, of painting the Australian landscape. Why even do it anymore? For being in the bush is nothing like being before even the most faithful painting of it. I can’t hope to obtain the deep connection Indigenous owners have to their land. Yet I do respond to this land and love it; I want to protect it, not exploit it. How could I paint all this? So I determined to pour paint over our native flora, to ‘paint it’, literally. Pouring paint on native flora is an absurd act, analogous to the way that mere painted representations of our landscape are absurd. Juan Ford, 2012",False,data/images/2012_Juan Ford_Whitewash.jpg,2012_Juan Ford_Whitewash,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29189/
2012,Alix Fairbairn,William Street aglow,,"William Street aglow captures the pulsating energy of daily life in central Sydney. There is a sense of frenzied activity as far as the eye can see: the city never rests. This painting is one of a series of twilight street scenes. I am enchanted by that brief phase in the evening, during which the urban landscape takes on a strange, almost fairytale quality. Neon signs create an ethereal glow and car headlights cast a pearly sheen on the ground. In William Street aglow I aim to convey that sense of change as the city adjusts to the fading light. Alix Fairbairn, 2012",False,data/images/2012_Alix Fairbairn_William Street aglow.jpg,2012_Alix Fairbairn_William Street aglow,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29188/
2012,Robert Ewing,The passing storm,,"I am intrigued by the elusive qualities of landscape, those mysterious aspects that appear to be immediately recognisable yet never fully understood. I populate my images with elements that provide a link to an unreal yet potentially believable and possible landscape: a place in transition into something new. While my artworks speak of inhabited and familiar spaces, they evoke notions of intrigue and mystery, alluding to the exotic and unknown with scenes of what could be. They depict evocative landscapes with anthropomorphic qualities, stirring the imagination with thoughts of places to be explored and things to be discovered. Robert Ewing, 2012",False,data/images/2012_Robert Ewing_The passing storm.jpg,2012_Robert Ewing_The passing storm,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29187/
2012,David Egan,Reality dreamer,,"In my work I use a bold, visual language inspired by contemporary culture. Abstract patterns, designed shapes and inventive figurative forms all coexist in an expansive multi-layering process to produce my own unique aesthetic. This infusion exudes its own life force, translating to the viewer a sense of energy and optimism. Reality dreamer represents the chaotic world that we live in and the overload of images that constantly bombard us. In the process of looking at this moment, ideas are pushed and directed to create my own visual environment, terrain or dreamscape. My studio practice commences with the execution of stand-alone imagery. An edited number of these images will form part of my ‘image bank’. From this resource, individual images are selected and intuitively placed in a successive multi-layering process to construct the completed painting. David Egan, 2012",False,data/images/2012_David Egan_Reality dreamer.jpg,2012_David Egan_Reality dreamer,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29186/
2012,Kevin Connor,Moonlight bay (Watsons Bay),,"A painting has to speak for itself, stand alone, a thing within itself. Art is only in the making. If you can spare a little silent time to look at this painting, please do so with my thanks. Kevin Connor, 2012",False,data/images/2012_Kevin Connor_Moonlight bay _Watsons Bay_.jpg,2012_Kevin Connor_Moonlight bay _Watsons Bay_,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29185/
2012,Jason  Christopher,Battery hens,,"Battery hens explores the cultural implications of technological progress and comments on the cause and effect of our synergy with the machine world. The automated food industry is a strong example of how historical cultural practices have been displaced by technology. It also poses serious questions as to how we may responsibly utilise automation and technological advances. I hope that once the audience becomes engaged and entertained by the quirky chickens their attention will then be drawn into thinking more deeply about the satirical commentary. The work is ergonomic, animal friendly, efficient and easy to maintain. It leaves you with that guilt-free feeling that only technology can deliver. Jason Christopher, 2012",False,data/images/2012_Jason  Christopher_Battery hens.jpg,2012_Jason  Christopher_Battery hens,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29184/
2012,Ernest Aaron,Untitled,,"The painting depicts a dense crowd of figures in the landscape, pictured through a pattern of highly contrasted, interlocking, black and white shapes. The image shifts between representation and abstraction in the eye of the beholder depending on their viewing distance. From afar the subject is discernable; however, from close-range the subject dissolves into a collection of meaningless abstract shapes and brush marks. These two perceptible states encourage the audience to engage with the painting on both physical and psychological levels. The work therefore addresses the importance of the viewer – the perceiving body – in relation to the artwork. Ernest Aaron, 2012",False,data/images/2012_Ernest Aaron_Untitled.jpg,2012_Ernest Aaron_Untitled,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29183/
2011,Joshua Yeldham,Morning Bay – Lovers Rock,,,False,data/images/2011_Joshua Yeldham_Morning Bay _ Lovers Rock.jpg,2011_Joshua Yeldham_Morning Bay _ Lovers Rock,https://www.artgallery.nsw.gov.au/prizes/wynne/2011/28968/
2011,Philip Wolfhagen,View to the past,oil on beeswax on linen,,False,data/images/2011_Philip Wolfhagen_View to the past.jpg,2011_Philip Wolfhagen_View to the past,https://www.artgallery.nsw.gov.au/prizes/wynne/2011/28967/
2011,A J Taylor,"Winter rain, Hawkesbury River",,,False,data/images/2011_A J Taylor_Winter rain_ Hawkesbury River.jpg,2011_A J Taylor_Winter rain_ Hawkesbury River,https://www.artgallery.nsw.gov.au/prizes/wynne/2011/28966/
2011,Robyn Sweaney,Continental drift,acrylic on linen,,False,data/images/2011_Robyn Sweaney_Continental drift.jpg,2011_Robyn Sweaney_Continental drift,https://www.artgallery.nsw.gov.au/prizes/wynne/2011/28965/
2011,Tim Storrier,Nostalgia (empire of the coals),,,False,data/images/2011_Tim Storrier_Nostalgia _empire of the coals_.jpg,2011_Tim Storrier_Nostalgia _empire of the coals_,https://www.artgallery.nsw.gov.au/prizes/wynne/2011/28964/
2011,Song Ling,Bonsai 2 – total fire ban today,,,False,data/images/2011_Song Ling_Bonsai 2 _ total fire ban today.jpg,2011_Song Ling_Bonsai 2 _ total fire ban today,https://www.artgallery.nsw.gov.au/prizes/wynne/2011/28963/
2011,Kate Shaw,Morphology,"Acrylic and resin on board, Triptych",,False,data/images/2011_Kate Shaw_Morphology.jpg,2011_Kate Shaw_Morphology,https://www.artgallery.nsw.gov.au/prizes/wynne/2011/28962/
2011,Paul Ryan,Not a sound out of the valley,,,False,data/images/2011_Paul Ryan_Not a sound out of the valley.jpg,2011_Paul Ryan_Not a sound out of the valley,https://www.artgallery.nsw.gov.au/prizes/wynne/2011/28961/
2011,James Powditch,Eucalyptus,mixed media,,False,data/images/2011_James Powditch_Eucalyptus.jpg,2011_James Powditch_Eucalyptus,https://www.artgallery.nsw.gov.au/prizes/wynne/2011/28960/
2011,Anthony Terrence O'Carroll,Finding ground,mixed media on canvas,,False,data/images/2011_Anthony Terrence O_Carroll_Finding ground.jpg,2011_Anthony Terrence O_Carroll_Finding ground,https://www.artgallery.nsw.gov.au/prizes/wynne/2011/28959/
2011,Nell,Self-nature is subtle and mysterious – nun. sex. monk. rock,,,False,data/images/2011_Nell_Self-nature is subtle and mysterious _ nun_ sex_ monk_ rock.jpg,2011_Nell_Self-nature is subtle and mysterious _ nun_ sex_ monk_ rock,https://www.artgallery.nsw.gov.au/prizes/wynne/2011/28941/
2011,Yukultji Napangati,Untitled,acrylic on linen,,False,data/images/2011_Yukultji Napangati_Untitled.jpg,2011_Yukultji Napangati_Untitled,https://www.artgallery.nsw.gov.au/prizes/wynne/2011/28958/
2011,Nigel Milsom,Judo house part 3 (bird as prophet),,,False,data/images/2011_Nigel Milsom_Judo house part 3 _bird as prophet_.jpg,2011_Nigel Milsom_Judo house part 3 _bird as prophet_,https://www.artgallery.nsw.gov.au/prizes/wynne/2011/28957/
2011,Eleanor Millard,"The boat house at Deep Lake, Derrinallum",,,False,data/images/2011_Eleanor Millard_The boat house at Deep Lake_ Derrinallum.jpg,2011_Eleanor Millard_The boat house at Deep Lake_ Derrinallum,https://www.artgallery.nsw.gov.au/prizes/wynne/2011/28956/
2011,Brigiat Maltese,"Folded Valley (Capertee, NSW)",,,False,data/images/2011_Brigiat Maltese_Folded Valley _Capertee_ NSW_.jpg,2011_Brigiat Maltese_Folded Valley _Capertee_ NSW_,https://www.artgallery.nsw.gov.au/prizes/wynne/2011/28953/
2011,Alexander McKenzie,Firestarter,,,False,data/images/2011_Alexander McKenzie_Firestarter.jpg,2011_Alexander McKenzie_Firestarter,https://www.artgallery.nsw.gov.au/prizes/wynne/2011/28955/
2011,Scott McDougall,Lines and whispers – Redfern,,,False,data/images/2011_Scott McDougall_Lines and whispers _ Redfern.jpg,2011_Scott McDougall_Lines and whispers _ Redfern,https://www.artgallery.nsw.gov.au/prizes/wynne/2011/28954/
2011,Sherrie Knipe,Boot lace,,,False,data/images/2011_Sherrie Knipe_Boot lace.jpg,2011_Sherrie Knipe_Boot lace,https://www.artgallery.nsw.gov.au/prizes/wynne/2011/28951/
2011,Jasper Knight,King Street Jetty,,,False,data/images/2011_Jasper Knight_King Street Jetty.jpg,2011_Jasper Knight_King Street Jetty,https://www.artgallery.nsw.gov.au/prizes/wynne/2011/28950/
2011,Fairlie Kingston,Hawkesbury River,,,False,data/images/2011_Fairlie Kingston_Hawkesbury River.jpg,2011_Fairlie Kingston_Hawkesbury River,https://www.artgallery.nsw.gov.au/prizes/wynne/2011/28949/
2011,Neil Haddon,"Analgesic fields, NW Tasmania",,,False,data/images/2011_Neil Haddon_Analgesic fields_ NW Tasmania.jpg,2011_Neil Haddon_Analgesic fields_ NW Tasmania,https://www.artgallery.nsw.gov.au/prizes/wynne/2011/28948/
2011,Richard Goodwin,Co-isolated slave,,,True,data/images/2011_Richard Goodwin_Co-isolated slave.jpg,2011_Richard Goodwin_Co-isolated slave,https://www.artgallery.nsw.gov.au/prizes/wynne/2011/28952/
2011,Joe Furlonger,Brisbane River in flood,acrylic bound pigment on canvas,,False,data/images/2011_Joe Furlonger_Brisbane River in flood.jpg,2011_Joe Furlonger_Brisbane River in flood,https://www.artgallery.nsw.gov.au/prizes/wynne/2011/28947/
2011,Neil Frazer,Fourth gorge,acrylic on canvas,,False,data/images/2011_Neil Frazer_Fourth gorge.jpg,2011_Neil Frazer_Fourth gorge,https://www.artgallery.nsw.gov.au/prizes/wynne/2011/28946/
2011,Graham Fransella,Tree,,,True,data/images/2011_Graham Fransella_Tree.jpg,2011_Graham Fransella_Tree,https://www.artgallery.nsw.gov.au/prizes/wynne/2011/28945/
2011,Tony Flint,Landscape legends – an altar for the blind,,,False,data/images/2011_Tony Flint_Landscape legends _ an altar for the blind.jpg,2011_Tony Flint_Landscape legends _ an altar for the blind,https://www.artgallery.nsw.gov.au/prizes/wynne/2011/28944/
2011,Andrew Browne,Evening: Bundanon,,,False,data/images/2011_Andrew Browne_Evening_ Bundanon.jpg,2011_Andrew Browne_Evening_ Bundanon,https://www.artgallery.nsw.gov.au/prizes/wynne/2011/28943/
2011,Luke Barker,Tekno-colour,,,False,data/images/2011_Luke Barker_Tekno-colour.jpg,2011_Luke Barker_Tekno-colour,https://www.artgallery.nsw.gov.au/prizes/wynne/2011/28942/
2013,Salvatore Zofrea,Morning light,oil on canvas with lapis lazuli,"Depicting the morning light is part of my new series of work. Here I express the awakening of light on wildflowers in the Australian bushland. I want to share my consciousness and reverence for the wonder of creation and enable others to enjoy and celebrate the beauty of God; to view all this as if for the first time through the eyes of a child is my aim. I hope people will realise the importance of seeing and respecting the great wonder we have around us and not let it be destroyed through our collective blindness, ignorance, complacency and greed. - Salvatore Zofrea",False,data/images/2013_Salvatore Zofrea_Morning light.jpg,2013_Salvatore Zofrea_Morning light,https://www.artgallery.nsw.gov.au/prizes/wynne/2013/29429/
